domain,source_col,source_value,target_col,target_prefix,target_curie
lb,lbtestcd,ALB,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,ALB
lb,lbtestcd,ALBCREAT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,ALBCREAT
lb,lbtestcd,BICARB,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,BICARB
lb,lbtestcd,BILI,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,BILI
lb,lbtestcd,BUN,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,BUN
lb,lbtestcd,CA,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CA
lb,lbtestcd,CO2,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CO2
lb,lbtestcd,CL,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CL
lb,lbtestcd,CHOL,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CHOL
lb,lbtestcd,CITRATE,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CITRATE
lb,lbtestcd,CREAT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CREAT
lb,lbtestcd,CREATCLR,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CREATCLR
lb,lbtestcd,GFRIOT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,GFRIOT
lb,lbtestcd,GFRCRCRT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,GFRCRCRT
lb,lbtestcd,GFRCRIOT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,GFRCRIOT
lb,lbtestcd,GFR,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,GFR
lb,lbtestcd,GLUC,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,GLUC
lb,lbtestcd,HDL,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,HDL
lb,lbtestcd,HCT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,HCT
lb,lbtestcd,HGB,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,HGB
lb,lbtestcd,LDL,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LDL
lb,lbtestcd,WBC,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,WBC
lb,lbtestcd,MG,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,MG
lb,lbtestcd,MG,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,MG
lb,lbtestcd,OXALATE,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,OXALATE
lb,lbtestcd,PHOS,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,PHOS
lb,lbtestcd,PLAT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,PLAT
lb,lbtestcd,K,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,K
lb,lbtestcd,PROT,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,PROT
lb,lbtestcd,SODIUM,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,SODIUM
lb,lbtestcd,TRIG,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,TRIG
lb,lbtestcd,URATE,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,URATE
lb,lbtestcd,UUN,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,UUN
lb,lbtestcd,LBVOLUME,lbtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LBVOLUME
lb,lbcat,HEMATOLOGY,lbcat_uri,https://w3id.org/c-path/biolink_sdtm_owl/,HEMATOLOGY
lb,lbcat,CHEMISTRY,lbcat_uri,https://w3id.org/c-path/biolink_sdtm_owl/,CHEMISTRY
lb,lbcat,URINALYSIS,lbcat_uri,https://w3id.org/c-path/biolink_sdtm_owl/,URINALYSIS
lb,lbspec,LBBLOOD,lbspec_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LBBLOOD
lb,lbspec,LBSERUM,lbspec_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LBSERUM
lb,lbspec,LBURINE,lbspec_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LBURINE
ur,urtestcd,VOLUME,urtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LOCVOLUME
ur,urtestcd,DEPTH,urtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LOCDEPTH
ur,urtestcd,LENGTH,urtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,LOCLENGTH
ur,urtestcd,NCPRMVOL,urtest_uri,https://w3id.org/c-path/biolink_sdtm_owl/,NCPRMVOL
ur,urloc,"HEART, LEFT VENTRICLE",urloc_uri,https://w3id.org/c-path/biolink_sdtm_owl/,HEARTLV
ur,urloc,KIDNEY,urloc_uri,https://w3id.org/c-path/biolink_sdtm_owl/,KIDNEY
